id,date,type,severity,affectedIndustry,country,lat,lng,responseTime,dataBreached,mitigationStrategy,financialImpact,org
35,2023-05-23,Phishing,Medium,Healthcare,Brazil,-14.235,-51.9253,27 hours,"113,777 records",VPN,$14.51M,Nation-state
36,2020-10-28,Phishing,Medium,Banking,Brazil,-14.235,-51.9253,31 hours,"739,540 records",Encryption,$17.75M,Hacker Group
37,2020-10-22,Man-in-the-Middle,Medium,Education,China,35.8617,104.1954,70 hours,"722,788 records",Firewall,$19.81M,Nation-state
38,2021-10-01,SQL Injection,Critical,Retail,Japan,36.2048,138.2529,12 hours,"214,372 records",Encryption,$82.52M,Insider
39,2022-04-16,DDoS,Medium,Retail,USA,38.9637,-95.7129,62 hours,"235,314 records",AI-based Detection,$32.53M,Insider
40,2016-01-09,DDoS,Critical,Education,Brazil,-14.235,-51.9253,71 hours,"140,812 records",VPN,$96.98M,Nation-state
41,2015-07-24,DDoS,Critical,Telecommunications,Russia,61.524,105.3188,3 hours,"238,356 records",AI-based Detection,$96.39M,Unknown
42,2021-11-18,SQL Injection,Critical,IT,India,20.5937,78.9629,57 hours,"826,976 records",VPN,$98.09M,Nation-state
43,2019-02-11,Man-in-the-Middle,Medium,Retail,UK,55.3781,-3.436,69 hours,"757,694 records",Encryption,$39.77M,Nation-state
44,2017-09-11,DDoS,High,IT,USA,38.9637,-95.7129,64 hours,"403,108 records",VPN,$74.12M,Hacker Group
45,2020-03-19,DDoS,Critical,Banking,Australia,-25.2744,133.7751,19 hours,"942,890 records",Antivirus,$92.95M,Insider
46,2022-11-29,Malware,Medium,Healthcare,France,46.2276,2.2137,36 hours,"794,906 records",AI-based Detection,$20.33M,Unknown
47,2016-11-09,SQL Injection,Medium,Government,Australia,-25.2744,133.7751,65 hours,"481,293 records",Antivirus,$27.33M,Hacker Group
48,2016-01-14,DDoS,Medium,Education,India,20.5937,78.9629,29 hours,"602,692 records",VPN,$21.01M,Hacker Group
49,2018-07-29,Man-in-the-Middle,Medium,Retail,UK,55.3781,-3.436,40 hours,"455,529 records",Firewall,$13.66M,Hacker Group
50,2017-05-20,Phishing,Critical,Telecommunications,Japan,36.2048,138.2529,31 hours,"383,395 records",VPN,$75.84M,Hacker Group
51,2023-08-25,DDoS,High,Retail,USA,38.9637,-95.7129,70 hours,"113,612 records",VPN,$59.69M,Hacker Group
52,2019-01-21,Malware,Medium,Government,Australia,-25.2744,133.7751,17 hours,"984,411 records",Antivirus,$21.72M,Insider
53,2015-04-26,Phishing,Critical,IT,UK,55.3781,-3.436,30 hours,"17,229 records",AI-based Detection,$85.58M,Hacker Group
54,2018-08-08,Phishing,Critical,Healthcare,France,46.2276,2.2137,51 hours,"581,303 records",Encryption,$75.11M,Insider
55,2019-12-01,Man-in-the-Middle,Medium,Education,India,20.5937,78.9629,23 hours,"799,474 records",AI-based Detection,$10.80M,Nation-state
56,2020-05-31,DDoS,Critical,Banking,India,20.5937,78.9629,10 hours,"898,655 records",AI-based Detection,$86.27M,Nation-state
57,2021-10-13,Malware,High,Healthcare,UK,55.3781,-3.436,57 hours,"698,852 records",Antivirus,$67.10M,Unknown
58,2018-05-21,DDoS,Critical,Healthcare,India,20.5937,78.9629,56 hours,"304,162 records",Firewall,$76.43M,Hacker Group
59,2015-10-20,Phishing,High,Banking,Brazil,-14.235,-51.9253,65 hours,"191,625 records",VPN,$43.40M,Hacker Group
60,2024-08-10,Phishing,Critical,Education,Australia,-25.2744,133.7751,14 hours,"93,185 records",VPN,$93.32M,Unknown
61,2019-04-06,Phishing,Medium,Healthcare,India,20.5937,78.9629,24 hours,"40,718 records",VPN,$35.60M,Nation-state
62,2015-12-16,Phishing,High,Government,China,35.8617,104.1954,65 hours,"310,574 records",Firewall,$42.73M,Nation-state
63,2024-09-19,DDoS,High,Education,India,20.5937,78.9629,52 hours,"475,719 records",Firewall,$73.37M,Nation-state
64,2018-07-06,Malware,High,Retail,UK,55.3781,-3.436,32 hours,"404,060 records",Antivirus,$73.18M,Unknown
65,2024-12-16,Malware,High,Education,China,35.8617,104.1954,55 hours,"132,726 records",Firewall,$72.35M,Hacker Group
66,2016-03-29,DDoS,Critical,Banking,UK,55.3781,-3.436,11 hours,"336,376 records",Firewall,$87.68M,Nation-state
67,2022-02-17,Malware,High,Healthcare,Australia,-25.2744,133.7751,63 hours,"566,437 records",Encryption,$67.16M,Unknown
68,2017-06-30,Man-in-the-Middle,Critical,Education,Russia,61.524,105.3188,16 hours,"313,631 records",Antivirus,$83.43M,Nation-state
69,2016-11-16,DDoS,Medium,Banking,France,46.2276,2.2137,28 hours,"996,004 records",VPN,$28.66M,Unknown
70,2021-10-29,Phishing,High,Healthcare,China,35.8617,104.1954,29 hours,"871,600 records",Firewall,$55.04M,Insider
71,2015-08-30,DDoS,High,IT,Brazil,-14.235,-51.9253,41 hours,"940,656 records",AI-based Detection,$43.51M,Unknown
72,2015-09-30,Ransomware,Medium,Telecommunications,USA,38.9637,-95.7129,66 hours,"297,209 records",Firewall,$20.73M,Nation-state
73,2019-04-09,Phishing,Critical,IT,UK,55.3781,-3.436,63 hours,"28,321 records",Antivirus,$78.19M,Insider
74,2022-06-29,Phishing,Medium,Telecommunications,Brazil,-14.235,-51.9253,10 hours,"456,783 records",Encryption,$29.02M,Nation-state
75,2018-08-28,Ransomware,Critical,Banking,Germany,51.1657,10.4515,25 hours,"933,028 records",VPN,$87.56M,Nation-state
76,2023-07-05,Phishing,Medium,Telecommunications,Australia,-25.2744,133.7751,56 hours,"221,512 records",AI-based Detection,$24.65M,Nation-state
77,2017-05-08,Phishing,Medium,Banking,France,46.2276,2.2137,12 hours,"16,585 records",Encryption,$17.88M,Hacker Group
78,2022-02-04,Ransomware,Medium,Education,USA,38.9637,-95.7129,9 hours,"787,752 records",Antivirus,$21.01M,Nation-state
79,2022-06-16,SQL Injection,High,Banking,Russia,61.524,105.3188,40 hours,"662,517 records",Firewall,$60.25M,Unknown
80,2018-09-11,Malware,Low,Education,Brazil,-14.235,-51.9253,20 hours,"274,509 records",Encryption,$6.63M,Hacker Group
81,2024-08-07,Phishing,Low,Government,France,46.2276,2.2137,66 hours,"508,649 records",Firewall,$5.80M,Hacker Group
82,2021-09-22,DDoS,High,IT,Brazil,-14.235,-51.9253,70 hours,"740,257 records",Encryption,$70.26M,Unknown
83,2024-12-04,Malware,High,Healthcare,Australia,-25.2744,133.7751,5 hours,"969,504 records",AI-based Detection,$62.08M,Hacker Group
84,2016-07-22,Man-in-the-Middle,Critical,Healthcare,Germany,51.1657,10.4515,54 hours,"779,494 records",AI-based Detection,$90.20M,Nation-state
85,2019-11-08,Malware,High,Banking,Japan,36.2048,138.2529,27 hours,"605,166 records",Encryption,$44.17M,Insider
86,2023-09-16,Malware,High,Government,France,46.2276,2.2137,66 hours,"274,946 records",Encryption,$55.18M,Insider
87,2019-07-06,Man-in-the-Middle,High,Banking,Japan,36.2048,138.2529,36 hours,"645,097 records",Firewall,$41.32M,Nation-state
88,2015-06-23,DDoS,Medium,Telecommunications,UK,55.3781,-3.436,68 hours,"157,678 records",Antivirus,$32.92M,Nation-state
89,2022-01-08,DDoS,Medium,Retail,Brazil,-14.235,-51.9253,69 hours,"157,034 records",AI-based Detection,$15.16M,Nation-state
90,2020-03-10,SQL Injection,High,Education,India,20.5937,78.9629,4 hours,"550,656 records",Encryption,$62.50M,Nation-state
91,2017-02-02,SQL Injection,High,Healthcare,Australia,-25.2744,133.7751,66 hours,"634,048 records",Firewall,$68.91M,Hacker Group
92,2023-05-12,DDoS,Critical,Banking,UK,55.3781,-3.436,3 hours,"547,495 records",AI-based Detection,$81.26M,Nation-state
93,2024-05-05,DDoS,High,Healthcare,UK,55.3781,-3.436,41 hours,"487,694 records",Antivirus,$58.31M,Hacker Group
94,2023-08-11,Man-in-the-Middle,Critical,Retail,France,46.2276,2.2137,42 hours,"427,067 records",Antivirus,$88.65M,Hacker Group
95,2023-04-22,Malware,Low,Telecommunications,Australia,-25.2744,133.7751,55 hours,"954,902 records",AI-based Detection,$1.51M,Hacker Group
96,2020-11-18,Ransomware,High,Banking,UK,55.3781,-3.436,53 hours,"128,594 records",Firewall,$49.23M,Nation-state
97,2024-01-12,Phishing,Critical,Healthcare,Germany,51.1657,10.4515,1 hours,"189,430 records",Firewall,$84.53M,Nation-state
98,2021-12-23,DDoS,Critical,Healthcare,France,46.2276,2.2137,15 hours,"603,327 records",AI-based Detection,$90.63M,Nation-state
99,2021-01-25,DDoS,Critical,Education,UK,55.3781,-3.436,36 hours,"276,593 records",Encryption,$80.26M,Nation-state
100,2023-09-22,Malware,Medium,Education,Japan,36.2048,138.2529,49 hours,"975,282 records",Firewall,$22.87M,Insider
101,2018-01-23,Ransomware,Medium,Retail,India,20.5937,78.9629,11 hours,"486,810 records",Antivirus,$23.79M,Hacker Group
102,2021-02-01,Ransomware,Medium,IT,Japan,36.2048,138.2529,25 hours,"969,517 records",Firewall,$35.43M,Hacker Group
103,2022-02-02,Malware,High,Banking,Australia,-25.2744,133.7751,18 hours,"151,599 records",Encryption,$74.77M,Insider
104,2022-03-01,SQL Injection,High,IT,Japan,36.2048,138.2529,30 hours,"749,545 records",AI-based Detection,$66.66M,Unknown
105,2015-11-10,Malware,Critical,Retail,Brazil,-14.235,-51.9253,35 hours,"71,743 records",VPN,$78.13M,Hacker Group
106,2018-05-14,Phishing,Medium,Banking,Germany,51.1657,10.4515,41 hours,"969,684 records",Antivirus,$11.39M,Hacker Group
107,2020-07-03,SQL Injection,Critical,Education,Germany,51.1657,10.4515,19 hours,"842,506 records",Antivirus,$87.84M,Unknown
108,2023-12-04,Man-in-the-Middle,Medium,IT,Brazil,-14.235,-51.9253,41 hours,"933,883 records",Encryption,$10.18M,Nation-state
109,2019-05-23,Malware,Low,Education,UK,55.3781,-3.436,10 hours,"393,748 records",AI-based Detection,$4.42M,Nation-state
110,2020-01-06,DDoS,Critical,Banking,Brazil,-14.235,-51.9253,37 hours,"708,549 records",Encryption,$76.98M,Unknown
111,2020-09-16,DDoS,High,Healthcare,Japan,36.2048,138.2529,41 hours,"136,762 records",VPN,$73.24M,Unknown
112,2018-05-27,Malware,Low,Telecommunications,Russia,61.524,105.3188,35 hours,"737,958 records",VPN,$8.11M,Unknown
113,2020-02-02,Man-in-the-Middle,Medium,Banking,Japan,36.2048,138.2529,51 hours,"108,886 records",Antivirus,$23.55M,Insider
114,2016-06-21,Phishing,Critical,Banking,Australia,-25.2744,133.7751,55 hours,"285,311 records",VPN,$92.79M,Nation-state
115,2021-11-06,Malware,High,Retail,USA,38.9637,-95.7129,57 hours,"961,868 records",Antivirus,$71.11M,Hacker Group
116,2023-07-06,Man-in-the-Middle,High,Banking,Australia,-25.2744,133.7751,29 hours,"471,743 records",Firewall,$57.34M,Unknown
117,2024-09-06,Phishing,Critical,Government,UK,55.3781,-3.436,25 hours,"993,903 records",Firewall,$81.26M,Unknown
118,2024-03-01,Ransomware,Low,Telecommunications,China,35.8617,104.1954,34 hours,"179,156 records",AI-based Detection,$7.32M,Nation-state
119,2022-03-27,Man-in-the-Middle,High,Healthcare,Germany,51.1657,10.4515,25 hours,"699,129 records",Encryption,$56.27M,Nation-state
120,2021-01-05,Malware,Critical,IT,Russia,61.524,105.3188,24 hours,"920,983 records",Encryption,$83.76M,Insider
121,2023-12-01,SQL Injection,Critical,Banking,UK,55.3781,-3.436,36 hours,"875,790 records",Firewall,$85.64M,Nation-state
122,2016-12-01,Malware,High,Retail,Russia,61.524,105.3188,40 hours,"415,274 records",Encryption,$61.39M,Hacker Group
123,2023-04-07,Ransomware,High,Banking,Russia,61.524,105.3188,38 hours,"222,293 records",VPN,$42.14M,Hacker Group
124,2021-03-06,Man-in-the-Middle,Critical,Retail,France,46.2276,2.2137,71 hours,"357,092 records",VPN,$94.40M,Unknown
125,2021-08-24,Malware,Critical,Telecommunications,Australia,-25.2744,133.7751,54 hours,"708,291 records",AI-based Detection,$84.68M,Hacker Group
126,2024-12-29,Malware,Critical,Banking,Russia,61.524,105.3188,35 hours,"517,610 records",Firewall,$93.33M,Nation-state
127,2023-08-22,Malware,High,Government,Germany,51.1657,10.4515,23 hours,"368,803 records",VPN,$70.46M,Hacker Group
128,2023-05-04,Man-in-the-Middle,High,Healthcare,China,35.8617,104.1954,62 hours,"421,191 records",Firewall,$48.71M,Nation-state
129,2018-03-19,Phishing,High,IT,India,20.5937,78.9629,37 hours,"282,139 records",Encryption,$69.03M,Hacker Group
130,2018-03-27,Malware,High,IT,China,35.8617,104.1954,22 hours,"117,543 records",Encryption,$49.19M,Insider
131,2016-08-05,Phishing,Medium,Government,France,46.2276,2.2137,62 hours,"536,925 records",Encryption,$27.20M,Unknown
132,2023-12-22,Ransomware,High,Retail,France,46.2276,2.2137,61 hours,"238,068 records",VPN,$64.08M,Unknown
133,2022-11-22,Malware,Medium,Telecommunications,Japan,36.2048,138.2529,32 hours,"39,814 records",VPN,$38.46M,Insider
134,2018-11-09,DDoS,Critical,Government,India,20.5937,78.9629,47 hours,"268,956 records",Antivirus,$80.89M,Nation-state
135,2015-02-24,Malware,Medium,Education,France,46.2276,2.2137,58 hours,424 records,Antivirus,$15.76M,Nation-state
136,2021-02-19,SQL Injection,Critical,Telecommunications,USA,38.9637,-95.7129,64 hours,"982,969 records",Encryption,$82.24M,Unknown
137,2021-08-26,Malware,Critical,Government,Germany,51.1657,10.4515,33 hours,"219,703 records",Firewall,$82.72M,Nation-state
138,2016-06-02,Man-in-the-Middle,Medium,Retail,Japan,36.2048,138.2529,12 hours,"530,947 records",VPN,$18.96M,Nation-state
139,2017-08-18,SQL Injection,High,IT,UK,55.3781,-3.436,37 hours,"576,110 records",Antivirus,$53.39M,Insider
140,2017-08-03,Man-in-the-Middle,High,Government,UK,55.3781,-3.436,68 hours,"177,154 records",Antivirus,$48.90M,Unknown
141,2017-06-14,SQL Injection,High,Healthcare,France,46.2276,2.2137,2 hours,"212,177 records",Encryption,$60.77M,Hacker Group
142,2021-01-06,DDoS,Critical,Banking,Germany,51.1657,10.4515,55 hours,"8,787 records",Encryption,$91.24M,Hacker Group
143,2015-07-22,Phishing,High,Education,USA,38.9637,-95.7129,31 hours,"291,727 records",Encryption,$41.36M,Insider
144,2022-11-12,DDoS,Critical,IT,Germany,51.1657,10.4515,72 hours,"987,652 records",VPN,$78.18M,Hacker Group
145,2022-07-02,Ransomware,Medium,Telecommunications,China,35.8617,104.1954,38 hours,"236,284 records",Antivirus,$16.16M,Unknown
146,2020-02-07,Man-in-the-Middle,Medium,Telecommunications,USA,38.9637,-95.7129,1 hours,"209,853 records",VPN,$15.63M,Nation-state
147,2020-04-21,DDoS,Medium,Retail,Australia,-25.2744,133.7751,50 hours,"755,621 records",Antivirus,$36.29M,Unknown
148,2015-07-28,SQL Injection,High,Retail,France,46.2276,2.2137,43 hours,"694,844 records",Antivirus,$61.41M,Insider
149,2018-07-22,SQL Injection,High,Retail,France,46.2276,2.2137,61 hours,"795,831 records",Encryption,$53.72M,Nation-state
150,2020-09-08,DDoS,Medium,Retail,Brazil,-14.235,-51.9253,22 hours,"342,253 records",Encryption,$17.40M,Unknown
151,2016-04-11,Phishing,Critical,Retail,USA,38.9637,-95.7129,35 hours,"638,693 records",AI-based Detection,$75.94M,Nation-state
152,2018-10-22,Phishing,High,Banking,USA,38.9637,-95.7129,51 hours,"618,616 records",VPN,$55.90M,Insider
153,2023-11-11,SQL Injection,High,Retail,Brazil,-14.235,-51.9253,21 hours,"774,426 records",AI-based Detection,$56.76M,Hacker Group
154,2023-12-09,DDoS,Critical,Government,Australia,-25.2744,133.7751,64 hours,"900,661 records",Encryption,$76.25M,Insider
155,2019-02-15,Phishing,Critical,Telecommunications,India,20.5937,78.9629,64 hours,"141,627 records",AI-based Detection,$75.23M,Insider
156,2024-11-26,Phishing,Low,IT,Germany,51.1657,10.4515,69 hours,"845,785 records",VPN,$3.93M,Unknown
157,2015-09-04,Malware,Critical,Retail,Australia,-25.2744,133.7751,12 hours,"120,048 records",Antivirus,$99.41M,Insider
158,2016-11-01,Malware,Medium,Retail,USA,38.9637,-95.7129,31 hours,"894,935 records",AI-based Detection,$32.89M,Unknown
159,2017-03-21,SQL Injection,Medium,Healthcare,Japan,36.2048,138.2529,45 hours,"277,555 records",AI-based Detection,$21.66M,Unknown
160,2024-06-28,Ransomware,Critical,Education,Australia,-25.2744,133.7751,38 hours,"461,012 records",AI-based Detection,$85.86M,Insider
161,2021-08-06,SQL Injection,Critical,Telecommunications,Russia,61.524,105.3188,55 hours,"599,291 records",Firewall,$80.23M,Nation-state
162,2016-02-16,Man-in-the-Middle,Medium,Government,Australia,-25.2744,133.7751,26 hours,"163,602 records",VPN,$31.92M,Hacker Group
163,2021-03-02,SQL Injection,Medium,Government,UK,55.3781,-3.436,11 hours,"986,196 records",Encryption,$39.03M,Nation-state
164,2024-09-09,Ransomware,Critical,Retail,France,46.2276,2.2137,20 hours,"349,008 records",Encryption,$99.03M,Nation-state
165,2022-05-19,SQL Injection,Medium,Retail,Germany,51.1657,10.4515,69 hours,"559,667 records",Antivirus,$25.10M,Unknown
166,2018-03-06,DDoS,High,Healthcare,Russia,61.524,105.3188,20 hours,"335,628 records",Antivirus,$67.27M,Hacker Group
167,2016-07-07,Ransomware,Medium,Education,Germany,51.1657,10.4515,22 hours,"385,363 records",Firewall,$29.89M,Unknown
168,2021-11-11,Man-in-the-Middle,Medium,Education,USA,38.9637,-95.7129,32 hours,"945,793 records",Firewall,$15.92M,Insider
169,2016-06-06,SQL Injection,Critical,Telecommunications,Russia,61.524,105.3188,11 hours,"595,950 records",AI-based Detection,$95.93M,Nation-state
170,2022-04-23,DDoS,Medium,Education,Japan,36.2048,138.2529,15 hours,"756,722 records",VPN,$12.61M,Nation-state
171,2024-01-13,Ransomware,Medium,Government,Australia,-25.2744,133.7751,54 hours,"594,424 records",Antivirus,$39.92M,Hacker Group
172,2015-04-14,Malware,Medium,Retail,China,35.8617,104.1954,39 hours,"457,790 records",Encryption,$19.36M,Hacker Group
173,2024-09-06,Ransomware,High,Telecommunications,China,35.8617,104.1954,63 hours,"549,337 records",Antivirus,$70.47M,Unknown
174,2023-06-03,Malware,High,Healthcare,France,46.2276,2.2137,34 hours,"714,681 records",Firewall,$53.34M,Unknown
175,2022-01-04,Malware,Critical,Government,India,20.5937,78.9629,51 hours,"849,745 records",Antivirus,$84.15M,Hacker Group
176,2019-12-14,SQL Injection,Medium,Banking,Brazil,-14.235,-51.9253,50 hours,"826,256 records",VPN,$27.64M,Nation-state
177,2017-10-31,DDoS,Low,IT,UK,55.3781,-3.436,43 hours,"617,543 records",Antivirus,$9.01M,Unknown
178,2017-02-27,SQL Injection,Low,Banking,USA,38.9637,-95.7129,52 hours,"895,507 records",AI-based Detection,$9.08M,Unknown
179,2020-10-29,SQL Injection,High,Healthcare,UK,55.3781,-3.436,45 hours,"2,233 records",Antivirus,$67.90M,Unknown
180,2022-02-15,Phishing,High,Government,Japan,36.2048,138.2529,42 hours,"76,776 records",Firewall,$71.12M,Unknown
181,2019-07-20,Ransomware,Low,Retail,China,35.8617,104.1954,64 hours,"175,261 records",VPN,$6.08M,Nation-state
182,2016-02-26,Man-in-the-Middle,Critical,Healthcare,Australia,-25.2744,133.7751,30 hours,"746,369 records",Antivirus,$90.85M,Insider
183,2017-03-07,Malware,Critical,Healthcare,Australia,-25.2744,133.7751,35 hours,"563,706 records",AI-based Detection,$77.32M,Nation-state
184,2022-02-10,DDoS,Medium,Healthcare,India,20.5937,78.9629,58 hours,"254,980 records",AI-based Detection,$12.01M,Insider
185,2021-04-21,Malware,Low,Education,Russia,61.524,105.3188,16 hours,"869,574 records",Antivirus,$0.54M,Unknown
186,2015-10-17,Malware,Critical,IT,Russia,61.524,105.3188,21 hours,"282,598 records",VPN,$95.33M,Unknown
187,2023-10-24,Malware,High,Telecommunications,Brazil,-14.235,-51.9253,55 hours,"422,623 records",AI-based Detection,$62.77M,Nation-state
188,2021-12-29,Malware,Critical,Healthcare,Brazil,-14.235,-51.9253,56 hours,"937,717 records",Encryption,$83.06M,Unknown
189,2021-01-26,Man-in-the-Middle,High,Telecommunications,India,20.5937,78.9629,39 hours,"416,077 records",VPN,$71.64M,Insider
190,2019-11-05,Man-in-the-Middle,High,Banking,Australia,-25.2744,133.7751,63 hours,"112,313 records",Firewall,$47.67M,Insider
191,2017-10-11,Man-in-the-Middle,Critical,Telecommunications,Australia,-25.2744,133.7751,63 hours,"799,971 records",Firewall,$79.72M,Insider
192,2018-10-05,Man-in-the-Middle,High,Retail,Japan,36.2048,138.2529,71 hours,"690,595 records",Antivirus,$47.11M,Hacker Group
193,2017-12-17,Man-in-the-Middle,High,Government,India,20.5937,78.9629,70 hours,"713,419 records",AI-based Detection,$69.69M,Hacker Group
194,2022-02-09,Man-in-the-Middle,Critical,Healthcare,Australia,-25.2744,133.7751,38 hours,"707,365 records",Antivirus,$81.31M,Hacker Group
195,2016-10-14,Malware,Critical,Healthcare,Brazil,-14.235,-51.9253,29 hours,"155,059 records",Antivirus,$83.88M,Unknown
196,2022-11-09,Phishing,Critical,Banking,Russia,61.524,105.3188,41 hours,"923,558 records",Encryption,$85.01M,Insider
197,2022-11-15,DDoS,Medium,Telecommunications,Germany,51.1657,10.4515,6 hours,"239,313 records",AI-based Detection,$20.55M,Nation-state
198,2023-02-27,Ransomware,High,Telecommunications,Russia,61.524,105.3188,48 hours,"874,485 records",Antivirus,$60.08M,Hacker Group
199,2016-06-03,SQL Injection,High,Healthcare,Russia,61.524,105.3188,29 hours,"90,895 records",VPN,$46.95M,Unknown
200,2015-11-17,Man-in-the-Middle,High,Retail,China,35.8617,104.1954,64 hours,"529,593 records",VPN,$47.20M,Hacker Group
201,2018-03-15,Phishing,High,Government,Germany,51.1657,10.4515,72 hours,"610,201 records",VPN,$46.92M,Nation-state
202,2021-09-13,DDoS,Low,Telecommunications,USA,38.9637,-95.7129,24 hours,"863,623 records",Firewall,$1.98M,Hacker Group
203,2018-09-02,Malware,Medium,Healthcare,USA,38.9637,-95.7129,44 hours,"755,771 records",Antivirus,$14.28M,Insider
204,2021-01-08,SQL Injection,High,Telecommunications,Japan,36.2048,138.2529,5 hours,"164,032 records",Firewall,$66.23M,Unknown
205,2019-04-04,Man-in-the-Middle,Critical,Telecommunications,Russia,61.524,105.3188,58 hours,"259,993 records",Antivirus,$95.66M,Nation-state
206,2019-09-29,Phishing,Critical,Retail,UK,55.3781,-3.436,17 hours,"232,359 records",Firewall,$90.13M,Unknown
207,2018-11-10,Phishing,Critical,Telecommunications,Germany,51.1657,10.4515,10 hours,"800,031 records",Encryption,$84.90M,Unknown
208,2016-08-19,Phishing,High,Healthcare,UK,55.3781,-3.436,48 hours,"925,040 records",Encryption,$71.19M,Unknown
209,2016-05-28,Malware,Critical,IT,Brazil,-14.235,-51.9253,67 hours,"273,469 records",AI-based Detection,$99.29M,Insider
210,2024-09-02,Malware,Medium,Banking,Germany,51.1657,10.4515,58 hours,"797,768 records",Firewall,$22.84M,Insider
211,2022-07-13,DDoS,Critical,Education,Japan,36.2048,138.2529,37 hours,"905,203 records",Antivirus,$82.19M,Hacker Group
